"Source:","/mnt/4000/kicad/ucdev_board/modem/m590/m590.kicad_sch"
"Date:","za 14 okt 2023 15:45:10 CEST"
"Tool:","Eeschema 7.0.8"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","37"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","AE1","Antenna","Device:Antenna","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"2","3","C1, C2, C5","33pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~",""
"3","1","C3","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~",""
"4","2","C4, C7","1 uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~",""
"5","1","C6","100 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~",""
"6","1","C8","470 uF","Device:C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X","~",""
"7","1","D1","D_Schottky_Small","Device:D_Schottky_Small","Diode_SMD:D_0805_2012Metric","~",""
"8","3","D2, D3, D5","D_Schottky","Device:D_Schottky","Diode_SMD:D_0805_2012Metric","~",""
"9","1","D4","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~",""
"10","2","H1, H2","~","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~",""
"11","1","J1","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"12","1","J2","SIM_Card","Connector:SIM_Card","AvS_Connector:MUP-C713"," ~",""
"13","1","M1","~","Device:C_Small","Resistor_SMD:R_0805_2012Metric","~",""
"14","2","M2, M3","~","Device:L_Small","Resistor_SMD:R_0805_2012Metric","~",""
"15","3","PMOD1, PMOD2, PMOD3","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Horizontal","~",""
"16","3","PMOD4, PMOD5, PMOD6","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal","~",""
"17","3","R1, R2, R8","47K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~",""
"18","2","R3, R9","200R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~",""
"19","3","R4, R5, R6","20R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~",""
"20","1","R7","1 K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~",""
"21","1","U1","~","AvS_Modules:M590","AvS_Modules:M590","",""
